REPORTING_DATE,PARTNER_ID,LOAN_ID,PRODUCT,STATUS,SEGMENT,EXPOSURE_DRAWN,EXPOSURE_UNDRAWN,EXPOSURE,EAD,EAD_COLL,PD,LGD,SIZE,MATURITY,F_MORTGAGE,F_REVOLVING,F_LARGE_FIN,RW,RWA
2022-12-31,sfman997ux8036,1324710203qiph20,CREDIT_CARD,Performing,Retail,0.0,18728.13876,18728.13876,11004.65713,0.0,0.0246518,0.3092,42.58029755,1.15616438,N,Y,N,0.245013691,2696.291657
2022-12-31,onvse705ca9217,1850135799zydg91,MORTGAGE,Performing,Retail,103838.774,0.0,103838.774,105912.2147,55687.82851,0.0056956,0.197270397,44.9952041,5.0,Y,N,N,0.17857894,18913.69105
2022-12-31,icbpv275om2612,6219058663wnxv78,CONSUMER,Performing,Retail,4880.214964,0.0,4880.214964,4907.859563,0.0,0.173298,0.2218,44.9952041,2.10684932,N,N,N,0.493066855,2419.902879
2022-12-31,ybmbx119zx4306,7377738634wcur96,REVOLVING,Performing,Retail,4750.102454,38791.87458,43541.97704,26380.71348,0.0,0.37152,0.631,0.165180796,1.0,N,N,N,1.771476069,46732.80261
2022-12-31,zedzi814ms9207,7056331781sxng56,CREDIT_CARD,Performing,Retail,0.0,3830.21812,3830.21812,1573.836625,0.0,0.0109709,0.549,0.415022507,1.0,N,N,N,0.615273209,968.3395104
2022-12-31,ejofd586kr7627,9789072963uchp67,CREDIT_CARD,Performing,Retail,37.45953321,2835.204057,2872.66359,1713.898126,0.0,0.00121,0.3092,44.9952041,1.0,N,Y,N,0.023115172,39.61704942
2022-12-31,dbzwr812ui3544,6427437957qrog26,MORTGAGE,Performing,Retail,135123.3254,0.0,135123.3254,137821.4076,86977.97194,0.0033932,0.153465776,44.9952041,5.0,Y,N,N,0.096183422,13256.13465
2022-12-31,aypqw778tr5906,6879704043radp38,DEBIT_CARD,Performing,Retail,1804.57854,118.6027041,1923.181245,1899.634979,0.0,0.0922787,0.3092,44.9952041,2.5,N,Y,N,0.583527665,1108.489564
2022-12-31,zhhgl998px1432,2117007777qyxy90,CREDIT_CARD,Performing,Retail,2736.958962,178.1147181,2915.07368,2849.059871,0.0,0.0342079,0.4248,0.126991359,1.41369863,N,Y,N,0.423945218,1207.845309
2022-12-31,vakyy255or8044,5397888782ghfy69,MORTGAGE,Performing,Retail,67845.07488,0.0,67845.07488,68413.05792,63460.09754,0.0018329,0.019880458,44.9952041,5.0,Y,N,N,0.007923826,542.0931505
2022-12-31,kxlnt892iv3279,7860290900zbqk47,DEBIT_CARD,Performing,Retail,949.6451295,10.26498456,959.9101141,963.9892964,0.0,0.2054913,0.3092,44.9952041,2.5,N,Y,N,0.868522356,837.2462552
2022-12-31,pgsfx589ed4097,4136970489lgmj66,CREDIT_CARD,Performing,Retail,1591.905679,345.1601059,1937.065785,1783.588945,0.0,0.0547562,0.3092,44.9952041,1.0,N,Y,N,0.423091155,754.620706
2022-12-31,amnws772ev9379,2862399865fseh64,CREDIT_CARD,Performing,Retail,806.6152094,1695.302417,2501.917627,1699.668866,0.0,0.0339824,0.3092,44.9952041,1.33150685,N,Y,N,0.307168829,522.0852946
2022-12-31,glemn314da7542,8945750821ygxa82,CREDIT_CARD,Performing,Retail,3498.77977,349.4978279,3848.277598,3706.109477,0.0,0.0026303,0.4248,44.9952041,1.16438356,N,Y,N,0.060047202,222.541504
2022-12-31,homdz958iv1331,3052857765gqmm93,CREDIT_CARD,Performing,Retail,1340.729551,595.2063203,1935.935871,1615.001895,0.0,0.017747,0.549,0.023005679,1.08767123,N,N,N,0.726455461,1173.226946
